method_name,review_date,validation_mode,case_or_scope,result,what_worked,what_failed,keep_change_or_retire,notes
long-term-integrated-thesis,2026-05-30,external_reviewer_bundle_integrity,public_workflow_pack,positive_partial,"Added external-reviewer-bundle-manifest.csv and validator checks for required send files assignable cases and internal do-not-send rows","This improves handoff integrity but does not complete G06 because no independent reviewer has returned results",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/external-reviewer-bundle-manifest.csv and scripts/validate_long_term_release.py."
long-term-integrated-thesis,2026-05-30,external_reviewer_request_memo,public_workflow_pack,positive_partial,"Added external-review-request.md and validator checks for independence boundary known G04 blocker and reviewer return requirements","This improves G06 assignment readiness but does not complete G06 because no independent reviewer has returned results",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/public-workflow-pack/external-review-request.md."
long-term-integrated-thesis,2026-05-30,final_release_cutover,public_release_candidate,positive_partial,"Added final-release-cutover-checklist.csv external-release-go-no-go-template.md and validator checks that prevent premature ready_external_release","Does not clear G04 or G06; it only defines the future cutover evidence required after those gates complete",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/final-release-cutover-checklist.csv and external-release-go-no-go-template.md."
long-term-integrated-thesis,2026-05-30,institutional_release_package,public_release_candidate,positive_partial,"Added institutional colleague release notes template use-boundaries memo adoption FAQ institutional-release-bundle-manifest.csv and validator checks","Does not clear G04 or G06; it only makes the eventual colleague distribution package explicit and harder to overstate",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/public-workflow-pack/institutional-colleague-release-notes-template.md, institutional-use-boundaries.md, institutional-adoption-faq.md and institutional-release-bundle-manifest.csv."
long-term-integrated-thesis,2026-05-30,theme_value_capture_screen,nuclear_smr_ai_power,positive_partial,"Routed broad nuclear/SMR/AI power to industry_map_first; separated hyperscaler demand signals from public-company value capture and added a power-contract/regulatory overlay","Does not clear G04 or G06; no single-equity actionability without ticker-level expectation map and contract/regulatory evidence",keep_under_trial,"See cases/nuclear-ai-power-2026-05-value-capture-screen/ and templates/power-contract-regulatory-check.csv."
long-term-integrated-thesis,2026-05-30,theme_value_capture_screen,stablecoins_tokenized_payments,positive_partial,"Routed broad stablecoin/tokenized payment theme to industry_map_first_with_single_equity_candidates; separated adoption/regulatory clarity from reserve-yield distribution-cost redemption-liquidity and payment-usage economics","Does not clear G04 or G06; no single-equity actionability without ticker-level expectation map and stablecoin reserve/regulatory evidence",keep_under_trial,"See cases/stablecoin-payments-2026-05-value-capture-screen/ and templates/stablecoin-reserve-regulatory-check.csv."
long-term-integrated-thesis,2026-05-30,theme_value_capture_screen,defense_autonomy_drones_counter_uas,positive_partial,"Routed broad defense autonomy/drone/counter-UAS theme to industry_map_first_with_single_equity_candidates; separated DoD policy urgency from funded program contract delivery compliance and margin evidence","Does not clear G04 or G06; no single-equity actionability without ticker-level expectation map and government procurement/program evidence",keep_under_trial,"See cases/defense-autonomy-drones-2026-05-value-capture-screen/ and templates/government-procurement-program-check.csv."
long-term-integrated-thesis,2026-05-30,cross_case_validation_matrix,validation_set,positive_partial,"Added cross-case validation matrix overlay coverage audit and summary; every completed validation case now maps to ordinary failure mode workflow decision reusable patch public caveat and refresh trigger","Does not clear G04 or G06; matrix improves auditability but still needs true follow-through and external reviewer challenge",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/cross-case-validation-matrix.csv, overlay-coverage-audit.csv and cross-case-validation-summary.md."
long-term-integrated-thesis,2026-05-30,historical_backtest_archive_gate,TDOC_PTON_2020_2022,positive_partial,"Added historical backtest source archive audit and publication standard; transcript consensus exact EV and filing-backup gaps are now row-level publication gates","Does not clear G04 or G06; TDOC/PTON remain internal evidence until archive audit no longer blocks external example use",keep_under_trial,"See cases/long-term-workflow-validation-2026-05-30/historical-backtest-source-archive-audit.csv and historical-backtest-publication-standard.md."
long-term-integrated-thesis,2026-05-30,g06_external_review_return_validator,public_workflow_pack,positive_partial,"Added scripts/validate_external_review_return.py and G06 return validation standard so future reviewer scorecard results memo and intake checklist can be mechanically accepted or rejected","Does not clear G06 because no independent reviewer has returned completed materials",keep_under_trial,"See scripts/validate_external_review_return.py and cases/long-term-workflow-validation-2026-05-30/g06-external-review-return-validation-standard.md."
long-term-integrated-thesis,2026-05-30,g04_follow_through_refresh_validator,CRM_2026,positive_partial,"Added scripts/validate_follow_through_refresh.py and G04 validation standard so future later-event refresh files can be mechanically accepted or rejected","Does not clear G04 because no later material event has been refreshed",keep_under_trial,"See scripts/validate_follow_through_refresh.py and cases/long-term-workflow-validation-2026-05-30/g04-follow-through-refresh-validation-standard.md."
long-term-integrated-thesis,2026-05-30,validator_regression_tests,release_gate_tooling,positive_partial,"Added scripts/test_long_term_release_validators.py to test release validator G04 validator and G06 validator against negative templates and temporary synthetic passing fixtures","Does not clear G04 or G06; synthetic fixtures are test-only and not release evidence",keep_under_trial,"See scripts/test_long_term_release_validators.py and cases/long-term-workflow-validation-2026-05-30/release-qa-report-2026-05-30.md."
institutional-research-quality-gate,2026-05-30,methodology_design,initial_scope,not_validated,Compresses user quality preferences into four questions and explicitly avoids patching core protocol before live case validation,No live case validation yet and may duplicate delivery checklist if applied mechanically,keep_under_trial,Review after 3-5 formal Prophetis outputs; adopt only if it improves downgrade decisions and conclusion clarity without adding workflow drag.
long-term-multibagger-research,2026-06-01,methodology_upgrade,baillie_gifford_ltgg_absorption,positive_partial,"Absorbed Baillie Gifford LTGG style right-tail questions into the existing trial lens: five-year sales test, ten-year outcome, 5x upside path, market misunderstanding, culture/adaptability, probability-weighted upside and missed-winner risk","This is not adoption; no Prophetis live case has yet proven that the added fields improve actionability or follow-through quality, and LTGG's portfolio concentration or volatility tolerance is not imported",keep_under_trial,"See memory/methodologies/long-term-multibagger-research.md, templates/long-term-multibagger-checklist.md and loops/long-term-thesis-loop.md."
roadmap-to-bottleneck-recursion,2026-06-01,methodology_design,Serenity_CPO_pattern_reverse_engineering,not_validated,"Converts the observed route-map to upstream-bottleneck pattern into a trial enhancer for industry-concept-analysis and supply-chain overlay","No completed Prophetis case or postmortem yet; source base starts from a practitioner/social thread and official NVIDIA CPO roadmap anchors, so broader institutional and failure-case coverage is still required",keep_under_trial,"See memory/methodologies/roadmap-to-bottleneck-recursion.md. First trials should use CPO / silicon photonics and AI power / grid bottleneck before any core workflow patch."
roadmap-to-bottleneck-recursion,2026-06-01,live_methodology_trial,CPO_silicon_photonics_2026,positive_partial,"Changed the output from a broad CPO / opticals theme into a recursive bottleneck ladder centered on external lasers InP laser manufacturing package integration and fiber/connectivity scale","Still no company-level valuation or financial transmission test; source coverage is official-source heavy and lacks follow-through after earnings or deployment updates",keep_under_trial,"See cases/cpo-silicon-photonics-2026-06-bottleneck-recursion-trial/. Next validation should hand off COHR or LITE and test whether the bottleneck ladder changes actionability versus ordinary supply-chain work."
roadmap-to-bottleneck-recursion,2026-06-01,single_equity_handoff_trial,COHR_CPO_external_laser_bottleneck,positive_partial,"Forced a specific bridge from NVIDIA roadmap to external laser / InP bottleneck to COHR financial transmission and downgraded the output to watch_only_pending_financial_transmission instead of thematic bullishness","No full valuation expectation map yet; NVIDIA partnership terms do not disclose exact product volumes pricing margins or take-or-pay economics; cash conversion remains a gating weakness",keep_under_trial,"See cases/cohr-2026-06-cpo-bottleneck-handoff/. Next validation should compare LITE and VECO or refresh COHR after FY2026 Q4."
roadmap-to-bottleneck-recursion,2026-06-01,single_equity_contrast_handoff_trial,LITE_CPO_external_laser_bottleneck,positive_partial,"Confirmed LITE has cleaner operating and margin transmission than COHR while still downgrading the output to watch_only_pending_valuation_map because the market already prices a large AI optical / CPO expectation burden","No full valuation expectation map or latest 10-Q cash-flow integration yet; NVIDIA partnership terms and CPO/OCS revenue contribution remain undisclosed",keep_under_trial,"See cases/lite-2026-06-cpo-bottleneck-handoff/. Next validation should build LITE valuation map or run VECO picks-and-shovels handoff."
top-bottom-risk-overlay,2026-06-03,methodology_design,AI_semis_opticals_memory_prompt,not_validated,"Created a trial overlay for top bottom overheated capitulation and fragile upside questions by combining fundamental slope expectation burden positioning liquidity reaction quality and next catalyst burden","No live validation yet; external research coverage is medium and lacks buy-side positioning dealer options ETF flow and historical top bottom backtests",keep_under_trial,"See memory/methodologies/top-bottom-risk-overlay.md, templates/top-bottom-risk-check.csv and skills/equity-research-core/references/overlay-routing.md."
autoresearch-agent-loop,2026-06-07,methodology_design,Deli_Karpathy_GitHub_AutoResearch_scan,not_validated,"Converts today's AutoResearch scan into a bounded Prophetis trial method for baseline-first iteration frozen metrics reviewer-routing rollback and failure logging","No Prophetis live trial yet; Deli materials are promising but not independently validated as a full reproducible framework, and Karpathy/GitHub variants are engineering-focused rather than market-research validation systems",keep_under_trial,"See memory/methodologies/autoresearch-agent-loop.md and memory/methodologies/autoresearch-agent-loop-search-log.csv."
